epoch,lr,step,train_loss,train_loss_gtc,train_loss_gtm,train_loss_lm
0,5.850999968970427e-06,49,11.53360652923584,4.757080078125,0.6401112675666809,6.136415481567383
0,1.0800999916682485e-05,99,9.845242500305176,4.487548828125,0.6374053955078125,4.720288276672363
0,1.5751000319141895e-05,149,8.507730484008789,4.201171875,0.6378275156021118,3.668731689453125
0,2.0700999812106602e-05,199,8.032081604003906,4.077484130859375,0.6351064443588257,3.319490909576416
0,2.565099930507131e-05,249,7.784487724304199,3.9263916015625,0.6350809335708618,3.2230148315429688
0,3.060100061702542e-05,299,7.826932430267334,4.04425048828125,0.635498046875,3.147183895111084
0,3.5550998291000724e-05,349,7.677483558654785,4.004974365234375,0.6389566659927368,3.033552646636963
0,4.0500999602954835e-05,399,7.134160041809082,3.5963516235351562,0.6342519521713257,2.9035563468933105
0,4.5451000914908946e-05,449,7.0639848709106445,3.6556549072265625,0.6330540776252747,2.775275707244873
0,5.040099858888425e-05,499,6.515600204467773,3.151081085205078,0.6315460205078125,2.732973337173462
0,5.535099990083836e-05,549,6.652992248535156,3.0978851318359375,0.6279093027114868,2.9271979331970215
0,6.030100121279247e-05,599,6.340428352355957,3.1387863159179688,0.6321512460708618,2.569491147994995
0,6.525099888676777e-05,649,6.249244213104248,2.9862594604492188,0.633544921875,2.6294398307800293
